"vote15","vote17","vote19","age"
"Conservative","Conservative","Conservative","26-35"
"Conservative","Conservative","Conservative","56-65"
"Green Party","Labour","Labour","36-45"
"Conservative","Conservative","Conservative","46-55"
"Conservative","Conservative","Liberal Democrat","26-35"
"Labour","Labour","Labour","56-65"
"Conservative","Liberal Democrat","Liberal Democrat","46-55"
"Liberal Democrat",NA,"Conservative","56-65"
"Labour","Labour","Labour","56-65"
"Conservative","Conservative","Conservative","36-45"
"Labour","Labour","Labour","46-55"
"Conservative","Conservative","Conservative","46-55"
"UKIP","Conservative","Conservative","66+"
"UKIP","Conservative","Conservative","46-55"
"Labour","Labour","Conservative","66+"
NA,NA,NA,"56-65"
"Conservative","Conservative","Conservative","46-55"
"Conservative","Conservative","Conservative","56-65"
"Labour","Labour","Labour","46-55"
"UKIP","Labour","Labour","66+"
"Labour","Labour","Labour","36-45"
"Conservative","Conservative","Conservative","66+"
"Conservative","Conservative","Liberal Democrat","56-65"
"Labour","Labour","Labour","46-55"
"UKIP","Conservative","Conservative","56-65"
"UKIP","Conservative","Conservative","56-65"
"Conservative","Conservative","Conservative","36-45"
"UKIP","Conservative","Conservative","66+"
"Labour","Liberal Democrat","Liberal Democrat","66+"
"Conservative","Conservative","Conservative","56-65"
"Conservative","Conservative","Conservative","46-55"
"Conservative","Conservative","Conservative","18-25"
"Labour","Liberal Democrat","Labour","36-45"
"Conservative","Conservative","Conservative","66+"
"Conservative","Conservative","Conservative","66+"
"Conservative","Conservative","Green Party","66+"
"Labour","Labour","Labour","66+"
"UKIP",NA,"Conservative","56-65"
"UKIP","Labour","Brexit Party","46-55"
"Conservative","Conservative","Conservative","56-65"
"Conservative","Conservative","Conservative","66+"
"Conservative","Conservative","Conservative","66+"
"Conservative","Conservative","Conservative","66+"
"Conservative","Conservative","Conservative","66+"
"Conservative","Conservative","Liberal Democrat","56-65"
"Green Party","Liberal Democrat","Green Party","56-65"
"Conservative","Conservative","Labour","56-65"
"Conservative","Conservative","Conservative","36-45"
"UKIP","Conservative","Conservative","56-65"
"Conservative","Conservative","Conservative","46-55"
"Conservative","Conservative","Conservative","26-35"
"UKIP","Conservative","Conservative","66+"
"Labour","Labour","Labour","36-45"
NA,"Labour","Brexit Party","46-55"
NA,NA,NA,"36-45"
"Labour","Conservative","Conservative","46-55"
"Labour","Labour","Labour","66+"
"Labour","Labour","Labour","66+"
"Labour","Labour","Labour","56-65"
"Labour","Labour",NA,"56-65"
NA,"Conservative",NA,"36-45"
"UKIP","UKIP","Conservative","66+"
"Conservative","Conservative","Conservative","66+"
"Labour","Labour","Conservative","56-65"
"Conservative","Conservative","Conservative","26-35"
"Conservative","Conservative","Conservative","46-55"
NA,NA,"Labour","18-25"
"UKIP","UKIP","Conservative","56-65"
"UKIP","Conservative","Liberal Democrat","66+"
"Labour","Labour","Labour","36-45"
"Conservative","Conservative","Conservative","46-55"
"UKIP","Conservative","Conservative","56-65"
"Conservative","Conservative","Conservative","56-65"
"UKIP","Conservative","Conservative","56-65"
"Liberal Democrat","Liberal Democrat","Liberal Democrat","26-35"
"UKIP","Conservative","Conservative","46-55"
"Conservative","Conservative","Conservative","56-65"
"Conservative","Conservative","Conservative","46-55"
"Labour","Labour","Labour","56-65"
NA,NA,NA,"46-55"
"Labour","Labour","Conservative","66+"
"Conservative","Conservative","Conservative","66+"
"Conservative","Conservative","Conservative","36-45"
"Green Party","Green Party",NA,"56-65"
NA,NA,NA,"36-45"
"UKIP","UKIP","Conservative","46-55"
"Conservative","Conservative","Conservative","36-45"
"Green Party","Labour","Labour","46-55"
"UKIP","Conservative","Conservative","56-65"
NA,"Labour","Conservative","56-65"
"UKIP","Labour","Liberal Democrat","66+"
"Conservative","Conservative","Conservative","36-45"
"Conservative","Conservative","Conservative","56-65"
NA,"Labour","Labour","46-55"
"Conservative","Conservative","Conservative","36-45"
"UKIP","Labour","Conservative","56-65"
"Labour","Labour","Labour","46-55"
"Conservative","Conservative","Conservative","26-35"
"Green Party","Labour","Labour","36-45"
"Labour","Labour","Labour","56-65"
"Conservative","Conservative","Conservative","36-45"
"Liberal Democrat","Liberal Democrat","Liberal Democrat","46-55"
NA,NA,NA,"56-65"
"Conservative","Conservative","Conservative","36-45"
"Labour","Conservative","Conservative","46-55"
NA,"Labour","Labour","26-35"
"Conservative","Conservative","Conservative","18-25"
"Conservative","Conservative","Conservative","56-65"
"Labour","Labour","Labour","36-45"
"UKIP","Conservative","Conservative","66+"
NA,NA,"Liberal Democrat","66+"
NA,NA,NA,"56-65"
"Labour","Labour",NA,"56-65"
NA,"Labour",NA,"56-65"
"Green Party","Green Party","Green Party","36-45"
"Labour","Labour","Labour","36-45"
"Conservative","Conservative","Brexit Party","46-55"
"Green Party","Labour","Labour","66+"
"Conservative","Conservative","Conservative","66+"
"Labour","Labour","Labour","36-45"
NA,NA,NA,"56-65"
NA,NA,NA,"56-65"
"UKIP","UKIP","Brexit Party","56-65"
"Labour","Liberal Democrat","Brexit Party","46-55"
"Labour","Conservative","Conservative","66+"
"Labour","Labour","Labour","56-65"
"Conservative","Conservative","Brexit Party","36-45"
"Labour","Labour","Labour","46-55"
"Conservative",NA,"Conservative","36-45"
"Conservative","Conservative","Green Party","46-55"
"Conservative","Conservative","Liberal Democrat","56-65"
"Labour","UKIP","Brexit Party","46-55"
"Labour","Labour",NA,"56-65"
"UKIP","Conservative","Brexit Party","56-65"
"Conservative","Conservative","Brexit Party","66+"
"UKIP","Labour","Labour","56-65"
"UKIP","Conservative","Brexit Party","56-65"
"Labour","Labour","Brexit Party","46-55"
"Conservative","Conservative","Conservative","56-65"
NA,NA,NA,"56-65"
"Labour","Conservative","Conservative","56-65"
"UKIP",NA,NA,"56-65"
"Green Party","Labour","Labour","36-45"
"Conservative","Conservative","Conservative","36-45"
"Conservative","Conservative","Liberal Democrat","56-65"
"Labour","Labour","Conservative","66+"
"Conservative","Conservative","Conservative","56-65"
"Labour","Labour","Labour","66+"
