vote17,vote19,freq
Conservative17,Brexit Party19,57
Conservative17,Conservative19,2083
Conservative17,Green Party19,19
Conservative17,Labour19,70
Conservative17,Liberal Democrat19,123
Green Party17,Brexit Party19,1
Green Party17,Conservative19,16
Green Party17,Green Party19,46
Green Party17,Labour19,37
Green Party17,Liberal Democrat19,16
Labour17,Brexit Party19,37
Labour17,Conservative19,256
Labour17,Green Party19,62
Labour17,Labour19,1715
Labour17,Liberal Democrat19,187
Liberal Democrat17,Brexit Party19,2
Liberal Democrat17,Conservative19,78
Liberal Democrat17,Green Party19,23
Liberal Democrat17,Labour19,101
Liberal Democrat17,Liberal Democrat19,325
UKIP17,Brexit Party19,34
UKIP17,Conservative19,97
UKIP17,Green Party19,5
UKIP17,Labour19,4
